.agents/artifacts/ARCHITECTURE_GUIDE.md	Architecture Guide	이 문서는 DDD-first 구조 계약서입니다.	2026-04-11 23:39	Live Artifact	Keep
.agents/artifacts/archive/releases/v0.3/ARCHITECTURE_GUIDE.md	Architecture Guide	이 문서는 DDD-first 구조 계약서입니다.	2026-04-07 13:44	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/CURRENT_STATE.md	Current State	모든 Agent의 기본 진입 라우터입니다.	2026-04-07 14:51	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/DEPLOYMENT_PLAN.md	Deployment Plan	DevOps가 실제 배포를 준비하고 결과를 기록하는 문서입니다.	2026-04-07 14:08	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/HANDOFF_ARCHIVE.md	Handoff Archive	`TASK_LIST.md`에서 밀려난 오래된 handoff 원문을 보관하는 문서입니다.	2026-04-04 00:35	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/IMPLEMENTATION_PLAN.md	Implementation Plan	요구사항과 아키텍처를 실제 작업 순서로 변환한 실행 계획서입니다.	2026-04-07 13:44	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/REQUIREMENTS.md	Requirements	Planner가 사용자와 함께 작성하는 최상위 제품 계약서입니다.	2026-04-07 13:44	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/REVIEW_REPORT.md	Review Report	Reviewer가 구조, 보안, 품질, 릴리즈 리스크를 판단하는 문서입니다.	2026-04-07 14:10	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/TASK_LIST.md	Task List	프로젝트의 공식 진행 상태 문서입니다.	2026-04-07 14:51	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/UI_DESIGN.md	UI Design	UI/UX가 있는 프로젝트에서만 사용하는 설계 문서입니다.	2026-04-06 18:13	Archive Snapshot	Keep
.agents/artifacts/archive/releases/v0.3/WALKTHROUGH.md	Walkthrough	Tester가 현재 iteration 또는 릴리즈 범위를 검증한 결과를 남기는 문서입니다.	2026-04-06 15:55	Archive Snapshot	Keep
.agents/artifacts/CURRENT_STATE.md	Current State	모든 Agent의 기본 진입 라우터입니다.	2026-04-12 00:41	Live Artifact	Keep
